id_proposta,id_cliente,codigo_fipe,score_credito,renda_mensal,percentual_entrada
200331,13420,028059-3,791,6428.85,0.24
200332,10301,011099-0,775,4471.93,0.59
200333,55236,025285-9,571,26812.04,0.53
200334,76235,025209-3,498,15949.89,0.2
200335,64240,004034-7,828,14065.67,0.58
200336,75726,005196-9,795,16673.28,0.67
200337,20492,022109-0,333,17959.85,0.13
200338,16102,005202-7,574,9417.73,0.19
200339,60336,021565-1,947,7306.18,0.46
200340,95314,005331-7,450,14472.28,0.35
200341,36641,004233-1,997,9422.31,0.32
200342,44584,022180-5,953,12723.75,0.43
200343,42745,002081-8,893,19732.2,0.6
200344,33093,055038-8,412,20157.13,0.35
200345,76105,088007-8,388,23310.97,0.3
200346,61885,096015-2,360,12765.4,0.68
200347,46631,014067-8,866,14409.81,0.31
200348,82991,008045-4,599,13687.22,0.15
200349,14014,001365-0,734,3340.75,0.27
200350,21093,080023-6,523,26145.37,0.16
200351,28070,005074-1,836,8024.91,0.11
200352,45777,004440-7,615,9598.84,0.62
200353,66958,005457-7,580,13151.38,0.4
200354,92074,005144-6,490,24014.55,0.7
200355,20729,014080-5,527,28062.73,0.31
200356,55017,005024-5,911,16546.94,0.21
200357,76320,001535-0,420,26788.37,0.48
200358,37751,002188-1,403,16416.49,0.28
200359,88069,022188-0,635,20326.01,0.35
200360,64748,004342-7,763,8696.53,0.5
200361,15801,029097-1,433,11358.06,0.39
200362,29190,005294-9,825,15207.0,0.17
200363,59689,025211-5,663,3899.5,0.58
200364,60993,024119-9,647,26849.22,0.29
200365,39592,016044-0,817,23981.33,0.27
200366,20647,005373-2,555,9250.85,0.61
200367,18716,083030-5,374,27833.43,0.2
200368,98891,035140-7,308,29748.54,0.59
200369,97545,033215-1,688,18752.86,0.5
200370,99912,004424-5,518,12741.3,0.25
200371,80316,003262-0,554,11737.83,0.63
200372,12368,025021-0,405,17276.54,0.11
200373,87575,024093-1,346,29819.08,0.2
200374,16655,001256-4,339,15483.36,0.28
200375,80031,001509-1,551,3253.21,0.24
200376,86429,009222-3,744,8896.08,0.49
200377,97922,033112-0,627,6249.71,0.23
200378,65766,004391-5,725,21199.05,0.29
200379,23403,003066-0,843,3285.14,0.23
200380,42097,003505-0,613,28814.45,0.26
200381,88657,005002-4,345,6190.37,0.21
200382,20966,009115-4,880,4241.19,0.18
200383,62921,023020-0,682,3978.56,0.56
200384,59726,001180-0,704,25104.99,0.27
200385,60300,033247-0,646,11948.21,0.27
200386,32677,016006-7,980,5353.18,0.67
200387,65609,003514-9,548,23626.81,0.53
200388,66661,024170-9,612,28730.44,0.54
200389,41024,021530-9,526,12998.2,0.15
200390,80313,003157-7,347,28635.14,0.41
200391,63006,015032-0,673,4448.27,0.57
200392,25338,005319-8,861,12975.29,0.35
200393,78027,008070-5,902,25028.34,0.5
200394,90135,018098-0,517,21838.62,0.56
200395,29508,025230-1,742,9604.57,0.11
200396,13051,004161-0,748,12854.22,0.48
200397,58747,018023-8,711,24169.89,0.22
200398,97142,089021-9,832,19639.66,0.43
200399,97235,003329-4,720,7589.65,0.66
200400,64021,003514-9,571,27731.89,0.29
200401,76412,024281-0,737,24461.83,0.55
200402,68335,033036-1,936,21429.84,0.15
200403,66179,009166-9,557,13387.28,0.28
200404,42093,008181-7,571,9197.29,0.42
200405,79678,002207-1,879,25522.56,0.22
200406,90738,033245-3,997,13903.81,0.31
200407,49734,028064-0,896,4627.3,0.63
200408,82615,035066-4,497,9492.03,0.34
200409,83523,017020-8,461,21806.81,0.53
200410,27019,003359-6,726,29936.67,0.57
200411,93613,008023-3,509,18451.61,0.54
200412,96672,023006-5,576,25878.06,0.36
200413,83847,005233-7,457,14807.03,0.5
200414,92750,004223-4,340,20611.52,0.42
200415,89634,025241-7,561,12792.08,0.51
200416,38251,004198-0,720,3126.23,0.15
200417,35945,018074-2,314,11465.72,0.17
200418,42217,004013-4,317,28294.32,0.41
200419,18308,009249-5,821,20763.43,0.1
200420,15949,023048-0,878,12778.78,0.36
200421,61990,005011-3,646,14272.29,0.14
200422,11150,005129-2,361,15344.8,0.53
200423,99480,004303-6,649,15347.16,0.51
200424,84740,004551-9,491,6199.4,0.66
200425,76617,024011-7,797,8874.36,0.11
200426,26896,059002-9,684,18429.46,0.7
200427,56175,024274-8,627,8348.73,0.63
200428,17805,003014-7,630,7904.3,0.39
200429,15237,018002-5,667,10697.24,0.61
200430,30056,031037-9,564,23323.86,0.26
200431,55543,033016-7,727,23854.45,0.65
200432,66556,001213-0,979,26239.43,0.43
200433,13343,001137-1,313,17295.46,0.32
200434,23500,017017-8,611,10070.99,0.39
200435,63222,025086-4,305,18660.19,0.29
200436,39375,009254-1,504,23284.44,0.25
200437,19662,015111-4,955,28345.8,0.3
200438,26964,033181-3,584,19601.94,0.29
200439,69638,001297-1,604,21936.11,0.56
200440,83666,021311-0,493,28089.84,0.19
200441,95067,008089-6,908,5353.47,0.62
200442,77215,023199-1,796,3292.63,0.29
200443,79042,019007-1,940,23790.39,0.3
200444,23284,003194-1,429,6695.17,0.33
200445,82789,004483-0,857,17903.74,0.66
200446,94664,008216-3,552,26000.18,0.28
200447,71389,024254-3,659,7940.45,0.31
200448,19435,005510-7,465,22355.91,0.13
200449,64340,001056-1,777,13141.25,0.2
200450,54078,029083-1,966,9131.01,0.43
200451,88832,001353-6,339,15074.05,0.59
200452,61293,004193-9,827,11658.6,0.43
200453,88781,024025-7,552,24190.32,0.18
200454,70403,002101-6,418,29886.28,0.32
200455,39124,005095-4,619,18066.02,0.61
200456,53919,012007-3,339,24607.84,0.57
200457,45247,017107-7,587,13671.91,0.33
200458,72752,003275-1,385,7229.12,0.33
200459,66573,005098-9,330,15321.45,0.44
200460,69101,017108-5,634,17773.47,0.11
200461,36646,067005-7,470,13934.97,0.3
200462,33049,029179-0,835,15104.98,0.51
200463,89605,055011-6,500,16891.66,0.27
200464,78385,005525-5,366,12067.38,0.22
200465,50158,008237-6,877,3544.39,0.57
200466,75417,004055-0,659,25562.95,0.69
200467,33289,015145-9,404,8358.68,0.49
200468,19823,021338-1,892,11684.75,0.46
200469,70160,067003-0,885,25817.44,0.42
200470,51975,028068-2,913,17986.61,0.32
200471,19540,074003-9,950,6744.17,0.52
200472,26364,001201-7,678,18244.16,0.61
200473,14611,025019-8,464,10999.21,0.19
200474,37663,015107-6,950,28646.64,0.61
200475,61991,023065-0,974,28109.68,0.57
200476,67679,001043-0,989,22228.94,0.25
200477,40977,003395-2,714,4569.29,0.39
200478,59115,021420-5,647,18557.14,0.37
200479,98223,057032-0,632,11461.18,0.46
200480,70890,029138-2,313,14942.15,0.18
200481,76387,055003-5,778,27359.69,0.63
200482,28071,025335-9,518,13792.75,0.46
200483,69275,023042-1,503,21964.7,0.35
200484,82369,015063-0,650,25100.98,0.49
200485,21938,008235-0,683,3951.8,0.37
200486,45195,021357-8,430,24819.39,0.35
200487,14000,022211-9,982,23489.33,0.21
200488,80588,002145-8,906,7164.94,0.47
200489,48304,022038-8,867,25698.7,0.48
200490,79449,017093-3,711,12959.35,0.6
200491,92986,022133-3,717,6493.06,0.18
200492,99643,091009-0,971,6255.11,0.12
200493,30764,002069-9,359,23819.73,0.17
200494,96027,024049-4,403,25922.74,0.66
200495,48494,024275-6,540,15305.64,0.26
200496,13373,008314-3,912,3735.64,0.25
200497,22161,015203-0,583,24186.09,0.15
200498,37350,005212-4,715,18441.1,0.57
200499,35351,022179-1,750,19776.28,0.46
200500,98668,016001-6,483,28291.26,0.14
200501,25305,055007-8,992,19726.3,0.22
200502,85353,029106-4,462,5384.26,0.57
200503,86797,003491-6,644,29787.57,0.16
200504,75953,080002-3,453,24086.59,0.44
200505,67458,001217-3,802,5050.93,0.38
200506,30358,005432-1,537,23569.77,0.18
200507,13267,011019-1,326,17708.38,0.59
200508,92745,021299-7,381,9629.49,0.5
200509,99588,083004-6,745,6312.86,0.56
200510,48513,025136-4,325,17370.04,0.63
200511,36092,057059-1,617,10393.94,0.14
200512,21338,080004-0,434,13464.27,0.26
200513,10412,004519-5,316,24744.3,0.25
200514,17543,011230-5,821,7535.98,0.42
200515,43496,029074-2,565,13854.99,0.61
200516,70692,003241-7,758,3828.9,0.62
200517,99084,025294-8,763,8149.74,0.14
200518,54425,009021-2,796,28622.39,0.35
200519,48756,004037-1,625,12060.44,0.24
200520,28888,011046-9,785,9926.6,0.17
200521,45735,025134-8,775,10224.59,0.35
200522,57295,059002-9,592,13401.75,0.22
200523,93042,011082-5,406,19695.39,0.49
200524,95999,018004-1,421,7258.92,0.64
200525,27955,005314-7,708,21096.53,0.54
200526,47841,004481-4,525,6249.92,0.44
200527,80640,001486-9,324,18811.88,0.62
200528,75510,028081-0,812,9028.95,0.15
200529,44911,030014-4,354,3461.84,0.23
200530,69031,005073-3,734,14195.56,0.52
200531,98726,011147-3,730,9840.96,0.36
200532,17357,022199-6,334,18905.96,0.24
200533,42479,033233-0,720,28563.98,0.33
200534,71476,025210-7,793,6566.43,0.58
200535,54811,307003-4,566,10049.24,0.19
200536,46208,024178-4,781,23645.61,0.4
200537,30150,025251-4,649,21003.41,0.43
200538,81180,002195-4,684,24552.89,0.52
200539,53286,001555-5,613,10656.23,0.43
200540,78450,031044-1,648,17923.41,0.35
200541,31352,015064-9,996,15956.48,0.59
200542,65069,003367-7,948,14109.91,0.16
200543,24397,021238-5,542,10191.76,0.68
200544,51555,014087-2,449,23597.82,0.24
200545,56959,001294-7,827,14795.72,0.28
200546,10728,033158-9,679,6290.11,0.47
200547,60517,011023-0,641,7542.83,0.23
200548,76234,057038-9,607,11051.06,0.31
200549,49954,004316-8,655,16509.47,0.69
200550,57280,071050-4,344,22490.25,0.38
200551,89459,021419-1,959,9580.07,0.53
200552,26779,001432-0,752,22066.47,0.62
200553,73932,021241-5,775,26127.55,0.53
200554,82936,004036-3,575,9457.99,0.11
200555,34466,004130-0,390,29831.09,0.36
200556,46939,005255-8,975,26116.37,0.22
200557,79896,016001-6,906,8137.04,0.35
200558,45270,057043-5,782,3408.89,0.6
200559,69163,033070-1,468,27955.43,0.46
200560,92637,025333-2,630,6406.93,0.19
200561,61934,024226-8,844,19689.65,0.24
200562,74895,014068-6,728,16774.34,0.69
200563,42307,009294-0,681,11976.1,0.25
200564,64098,003471-1,542,27811.53,0.29
200565,70921,005399-6,690,23052.26,0.66
200566,15486,025010-4,303,6220.98,0.44
200567,18335,004499-7,996,20153.69,0.51
200568,96900,001098-7,619,26963.12,0.31
200569,99112,057046-0,531,23155.87,0.46
200570,21130,017043-7,865,10469.83,0.43
200571,97508,001378-1,990,25863.36,0.58
200572,70566,004440-7,670,26686.5,0.13
200573,76703,071042-3,994,22239.26,0.58
200574,37192,011100-7,338,27878.55,0.38
200575,11062,033150-3,580,7528.67,0.66
200576,94076,003449-5,985,8493.41,0.36
200577,99780,005274-4,502,23323.86,0.37
200578,31545,001455-9,450,21213.91,0.21
200579,31689,011165-1,840,29769.82,0.45
200580,21174,001484-2,580,16715.43,0.51
200581,98461,007014-9,923,8917.97,0.11
200582,19348,008157-4,434,28332.76,0.25
200583,33714,035146-6,366,20065.94,0.61
200584,48102,025124-0,396,15929.42,0.59
200585,84460,080014-7,380,23190.11,0.67
200586,99930,071005-9,910,14080.7,0.51
200587,16801,036001-5,914,19925.98,0.44
200588,82267,025074-0,488,29273.82,0.19
200589,58136,057027-3,853,25263.04,0.66
200590,33625,021081-1,944,27572.79,0.14
200591,92873,018094-7,846,12358.07,0.37
200592,82592,004200-5,551,9555.18,0.38
200593,87052,004137-8,800,21099.58,0.64
200594,54261,033175-9,741,9172.81,0.5
200595,11542,002225-0,499,23620.9,0.51
200596,31677,025252-2,348,21177.69,0.3
200597,56732,016001-6,320,24561.16,0.67
200598,60343,003121-6,910,27041.47,0.27
200599,49081,021483-3,831,4001.26,0.66
200600,72856,083003-8,472,18160.5,0.36
200601,98858,091010-4,422,11217.99,0.24
200602,29065,021064-1,543,15962.23,0.14
200603,93460,021156-7,729,16353.35,0.36
200604,98092,035081-8,313,20853.92,0.69
200605,64693,011061-2,625,14611.12,0.21
200606,36962,001499-0,677,28463.46,0.49
200607,38295,003380-4,938,25627.47,0.39
200608,23807,015225-0,990,24230.66,0.44
200609,52348,004510-1,665,25839.9,0.69
200610,36432,002178-4,777,7841.83,0.65
200611,93285,004242-0,734,29273.49,0.66
200612,67854,001386-2,993,17961.47,0.19
200613,50262,021229-6,845,9690.29,0.21
200614,47080,095007-6,997,17616.24,0.42
200615,11324,015013-4,534,7232.49,0.4
200616,45909,028074-7,302,25148.76,0.22
200617,99339,008173-6,520,13758.61,0.49
200618,29870,008245-7,320,26845.72,0.35
200619,44578,005293-0,896,5225.13,0.45
200620,82124,017094-1,814,13161.08,0.46
200621,36790,021041-2,464,9734.28,0.45
200622,35289,027072-5,316,21533.62,0.4
200623,65129,003024-4,565,24986.31,0.65
200624,25485,004471-7,862,4352.2,0.46
200625,54482,001021-9,947,9982.02,0.15
200626,96188,006017-8,981,19458.53,0.28
200627,14748,022047-7,413,6214.3,0.56
200628,96769,003047-3,825,7918.51,0.22
200629,19435,031038-7,956,27374.56,0.59
200630,13709,004135-1,828,13448.57,0.14
200631,40355,005437-2,649,22088.36,0.42
200632,65771,021436-1,471,22641.49,0.21
